label,desc
Sparse and rural,Local authority predominately made up of large and low-density rural neighbourhoods
Urban,Local authority predominately made up of urban neighbourhoods
Rural,Local authority predominately made up of rural neighbourhoods
Urban with rural areas,"Local authority mostly made up of urban neighbourhoods, but with a significant number of rural neighbourhoods"
