local-authority-code_A,local-authority-code_B,distance
BPL,KWL,0.9383638781079309
BPL,LIV,0.43747777777625274
BPL,KHL,0.6496609230473158
BPL,MDB,0.8573756177487275
BPL,MAN,0.8129105189533964
BPL,BUN,1.5595628042658054
BPL,BIR,0.970603780547436
BPL,BBD,1.6734512974358047
BPL,BGW,1.8492112827761427
BPL,LCR,1.535320117128217
BPL,SAW,1.3563295120072656
BPL,HPL,1.8189623146531173
BPL,BRD,1.7058218061880108
BPL,NGM,1.4040974578511438
BPL,STE,1.4693514179921716
BPL,RCH,1.7347349721676442
BPL,HYN,1.81739156247647
BPL,HAS,1.466881394836355
BPL,SLF,1.539874069388081
BPL,OLD,1.7768872259257913
BPL,MTY,2.10046607022717
BPL,GRY,2.0966396138094443
BPL,BDG,1.8497916060402284
BPL,HCK,4.684427844148479
BPL,WLV,1.6909999214255234
BPL,HAL,1.9530692435407488
BPL,WLL,1.8029373758481075
BPL,SHN,2.077216613604032
BPL,STY,1.9084791781946124
BPL,TAM,1.936891117135928
BPL,GLG,1.8106181327959654
BPL,THA,2.1103745441057433
BPL,NTL,2.3507806687256894
BPL,NEL,2.2359902812823953
BPL,PEN,2.319339665829837
BPL,BOL,2.0235075302706966
BPL,BAR,2.262799509211886
BPL,TVCA,2.2761464505380773
BPL,LCE,1.9439240671727447
BPL,SND,2.081274710945461
BPL,RCT,2.3827170946936658
BPL,DNC,2.389790523540538
BPL,TEN,2.416229608077711
BPL,GMCA,2.100452724532053
BPL,NWP,2.3517987764829296
BPL,BNS,2.3976533218172706
BPL,NET,2.0883417579623176
BPL,ELI,2.570740498097931
BPL,WRL,2.1923688050440395
BPL,RCC,2.4636375559852
BPL,ROT,2.391001231698797
BPL,PRE,2.3865997593498585
BPL,IVC,2.5034232553218407
BPL,NWM,3.177812091368857
BPL,SCR,2.483932945180848
BPL,WDU,2.564580121738964
BPL,WYCA,2.457902407739585
BPL,NECA,2.625598243933364
BPL,MAS,2.4400348614907728
BPL,CAY,2.5845796413720286
BPL,GAT,2.4596791233725526
BPL,TOB,2.366846992752775
BPL,HRY,3.0128934759378723
BPL,PTE,2.66827502875114
BPL,DND,2.39474074160586
BPL,LDS,2.533725343584612
BPL,SWL,2.7384507329915944
BPL,NOW,2.34186943177368
BPL,TWH,5.614165168602236
BPL,ISL,5.597111579285521
BPL,TOF,2.6852613576381335
BPL,WKF,2.6409432596188043
BPL,SHF,2.5570594057133524
BPL,POR,2.4441990618273466
BPL,SFT,2.5386044752880275
BPL,NAY,2.86907236601909
BPL,STH,2.46835296287936
BPL,DER,2.455282358186054
BPL,LIC,2.486638299303036
BPL,PLY,2.4600983646328474
BPL,LEW,3.1120976438686565
BPL,DEN,2.90481023852467
BPL,DUR,2.8896962825961143
BPL,CLD,2.82771163667609
BPL,CRF,2.5405327568902174
BPL,ASH,2.7324088013208754
BPL,BST,2.4954663773212262
BPL,SCE,2.9335077408541737
BPL,NLK,2.825217859362727
BPL,LUT,2.5637265774658657
BPL,IPS,2.5435114306391915
BPL,COV,2.5392497913966516
BPL,WGN,2.7022982040743835
BPL,ENF,2.563142290888481
BPL,STT,2.8340419143133553
BPL,SWK,3.8477462179894966
BPL,DAL,2.9236398589481225
BPL,SWA,2.9054897191421265
BPL,BEN,2.981890964812047
BPL,FEN,3.005325880165466
BPL,EAY,3.0407577725908688
BPL,LBH,4.148248906375885
BPL,KIR,2.8714019394703483
BPL,WFT,2.932561377812819
