local-authority-code,la_deprivation_score,pop_2020,area,density,label,label_desc
BPL,45.4870572551382,138381.0,35.0,3953.7428571428572,Mainstream A,Above average deprivation
KWL,43.165482725934936,152452.0,87.0,1752.3218390804598,Mainstream A,Above average deprivation
LIV,42.53650428678703,500474.0,112.0,4468.517857142857,Mainstream A,Above average deprivation
KHL,40.63107646144011,259126.0,72.0,3598.972222222222,Mainstream A,Above average deprivation
MDB,40.38096358348702,141285.0,54.0,2616.3888888888887,Mainstream A,Above average deprivation
MAN,39.82080742975592,555741.0,116.0,4790.870689655172,Mainstream A,Above average deprivation
BUN,38.55430196806119,89344.0,111.0,804.9009009009009,Mainstream A,Above average deprivation
BIR,38.10821623448964,1140525.0,268.0,4255.690298507463,Mainstream A,Above average deprivation
BBD,36.19481978142371,150030.0,137.0,1095.109489051095,Mainstream A,Above average deprivation
BGW,35.688758751713,70020.0,109.0,642.3853211009174,Mainstream A,Above average deprivation
LCR,35.14974826911731,1564015.0,732.0,2136.632513661202,Mainstream A,Above average deprivation
SAW,35.1011244420764,329042.0,86.0,3826.0697674418607,Mainstream A,Above average deprivation
HPL,34.96067646776209,93836.0,94.0,998.2553191489362,Mainstream A,Above average deprivation
BRD,34.88322839474153,542128.0,366.0,1481.224043715847,Mainstream A,Above average deprivation
NGM,34.85831456293183,337098.0,75.0,4494.64,Mainstream A,Above average deprivation
STE,34.85016334275965,256622.0,93.0,2759.3763440860216,Mainstream A,Above average deprivation
RCH,34.75680797349064,223659.0,158.0,1415.5632911392406,Mainstream A,Above average deprivation
HYN,34.682468911565465,81133.0,73.0,1111.4109589041095,Mainstream A,Above average deprivation
HAS,34.57192434789176,92554.0,30.0,3085.133333333333,Mainstream A,Above average deprivation
SLF,34.33304038495719,262697.0,97.0,2708.216494845361,Mainstream A,Above average deprivation
OLD,33.837802492514015,237628.0,142.0,1673.4366197183099,Mainstream A,Above average deprivation
MTY,33.32222904214466,60424.0,111.0,544.3603603603603,Mainstream A,Above average deprivation
GRY,33.29233555810581,99198.0,174.0,570.1034482758621,Mainstream A,Above average deprivation
BDG,32.72231926765803,214107.0,36.0,5947.416666666667,Outlier A,Above average deprivation and density
HCK,32.56071419678428,280941.0,19.0,14786.368421052632,Outlier B,"Very high deprivation, above average deprivation."
WLV,32.534546645807765,264407.0,69.0,3831.985507246377,Mainstream A,Above average deprivation
HAL,32.336525368982315,129759.0,79.0,1642.5189873417721,Mainstream A,Above average deprivation
WLL,32.175975336102965,286716.0,104.0,2756.8846153846152,Mainstream A,Above average deprivation
SHN,31.78825867596977,181095.0,136.0,1331.5808823529412,Mainstream A,Above average deprivation
STY,31.715865058022455,151133.0,64.0,2361.453125,Mainstream A,Above average deprivation
TAM,31.66438354827744,227117.0,103.0,2205.019417475728,Mainstream A,Above average deprivation
GLG,31.648102194411365,635640.0,175.0,3632.2285714285713,Mainstream A,Above average deprivation
THA,31.44299463085357,141458.0,104.0,1360.173076923077,Mainstream A,Above average deprivation
NTL,31.386635765087817,144386.0,441.0,327.40589569161,Mainstream A,Above average deprivation
NEL,31.342407130725817,159364.0,193.0,825.720207253886,Mainstream A,Above average deprivation
PEN,31.17465717821782,92145.0,169.0,545.2366863905326,Mainstream A,Above average deprivation
BOL,31.130111208485502,288248.0,140.0,2058.9142857142856,Mainstream A,Above average deprivation
BAR,31.032886948351212,66726.0,78.0,855.4615384615385,Mainstream A,Above average deprivation
TVCA,30.91782305338903,677170.0,795.0,851.7861635220125,Mainstream A,Above average deprivation
LCE,30.85077790324767,354036.0,73.0,4849.808219178082,Outlier A,Above average deprivation and density
SND,30.691123656397966,277846.0,137.0,2028.0729927007299,Mainstream A,Above average deprivation
RCT,30.521077598991763,241873.0,424.0,570.4551886792453,Mainstream A,Above average deprivation
DNC,30.49772315880599,312785.0,568.0,550.6778169014085,Mainstream A,Above average deprivation
TEN,30.496125845211186,147353.0,336.0,438.55059523809524,Mainstream A,Above average deprivation
GMCA,30.294907125471585,2848286.0,1275.0,2233.9498039215687,Mainstream A,Above average deprivation
NWP,30.284064478868725,156447.0,190.0,823.4052631578948,Mainstream A,Above average deprivation
BNS,30.00411464519212,248071.0,329.0,754.0151975683891,Mainstream A,Above average deprivation
