local-authority-code,la_deprivation_score,pop_2020,area,density,label,label_desc
NET,29.949040297866723,306824.0,113.0,2715.2566371681414,Mainstream A,Above average deprivation
ELI,29.844699584412297,142030.0,1767.0,80.37917374080362,Mainstream A,Above average deprivation
WRL,29.79318516963931,324336.0,161.0,2014.5093167701864,Mainstream A,Above average deprivation
RCC,29.791865154939835,137228.0,245.0,560.1142857142858,Mainstream A,Above average deprivation
ROT,29.741272256990115,264984.0,287.0,923.2891986062717,Mainstream A,Above average deprivation
PRE,29.614644727005984,144147.0,142.0,1015.1197183098592,Mainstream A,Above average deprivation
IVC,29.587587294654814,77060.0,160.0,481.625,Mainstream A,Above average deprivation
NWM,29.404628489468603,355266.0,36.0,9868.5,Outlier B,"Very high deprivation, above average deprivation."
SCR,28.93824727541128,1415054.0,1552.0,911.7615979381443,Mainstream A,Above average deprivation
WDU,28.878325797253176,88340.0,159.0,555.5974842767296,Mainstream A,Above average deprivation
WYCA,28.756780369213903,2345235.0,2030.0,1155.2881773399015,Mainstream A,Above average deprivation
NECA,28.525622299561515,1164078.0,2569.0,453.124951342935,Mainstream A,Above average deprivation
MAS,28.50884456560519,109351.0,77.0,1420.142857142857,Mainstream A,Above average deprivation
CAY,28.506884855329837,181731.0,277.0,656.0685920577617,Mainstream A,Above average deprivation
GAT,28.340326975328487,201950.0,142.0,1422.1830985915492,Mainstream A,Above average deprivation
TOB,28.216444159866153,136218.0,63.0,2162.190476190476,Mainstream A,Above average deprivation
HRY,28.13070552807215,266357.0,30.0,8878.566666666668,Outlier B,"Very high deprivation, above average deprivation."
PTE,27.88069812468172,202626.0,343.0,590.7463556851312,Mainstream A,Above average deprivation
DND,27.71066427298519,148820.0,60.0,2480.3333333333335,Mainstream A,Above average deprivation
LDS,27.68480163502235,798786.0,552.0,1447.0760869565217,Mainstream A,Above average deprivation
SWL,27.5989311243187,151015.0,373.0,404.8659517426274,Mainstream A,Above average deprivation
NOW,27.56683175289709,142177.0,39.0,3645.5641025641025,Outlier A,Above average deprivation and density
TWH,27.521556559762267,331969.0,20.0,16598.45,Outlier B,"Very high deprivation, above average deprivation."
ISL,27.448605092651764,248115.0,15.0,16541.0,Outlier B,"Very high deprivation, above average deprivation."
TOF,27.446011138320134,94832.0,126.0,752.6349206349206,Mainstream A,Above average deprivation
WKF,27.36930997209398,351592.0,339.0,1037.1445427728613,Mainstream A,Above average deprivation
SHF,27.29229006776061,589214.0,368.0,1601.125,Mainstream A,Above average deprivation
POR,27.274293878690575,214692.0,40.0,5367.3,Outlier A,Above average deprivation and density
SFT,27.257467483086735,275899.0,157.0,1757.3184713375797,Mainstream A,Above average deprivation
NAY,26.907236237232045,134250.0,885.0,151.6949152542373,Mainstream A,Above average deprivation
STH,26.882578120544906,252872.0,50.0,5057.44,Outlier A,Above average deprivation and density
DER,26.783834163745343,256814.0,78.0,3292.4871794871797,Outlier A,Above average deprivation and density
LIC,26.78136226950926,100049.0,36.0,2779.1388888888887,Mainstream A,Above average deprivation
PLY,26.74908324303701,262839.0,80.0,3285.4875,Outlier A,Above average deprivation and density
LEW,26.743396368059315,305309.0,35.0,8723.114285714286,Outlier B,"Very high deprivation, above average deprivation."
DEN,26.654034262567247,96664.0,837.0,115.48864994026285,Mainstream A,Above average deprivation
DUR,26.55317817028678,533149.0,2226.0,239.50988319856245,Mainstream A,Above average deprivation
CLD,26.492248970230047,211439.0,364.0,580.8763736263736,Mainstream A,Above average deprivation
CRF,26.461858941027483,369202.0,141.0,2618.45390070922,Mainstream A,Above average deprivation
ASH,26.403706343126057,128337.0,110.0,1166.7,Mainstream A,Above average deprivation
BST,26.38432331125628,465866.0,110.0,4235.145454545454,Outlier A,Above average deprivation and density
SCE,26.360596540912322,108737.0,816.0,133.2561274509804,Mainstream A,Above average deprivation
NLK,26.274587041110216,341140.0,470.0,725.8297872340426,Mainstream A,Above average deprivation
LUT,26.092169648724244,213528.0,43.0,4965.767441860465,Outlier A,Above average deprivation and density
IPS,26.0718242825736,135979.0,40.0,3399.475,Outlier A,Above average deprivation and density
COV,26.032645643180317,379387.0,99.0,3832.191919191919,Outlier A,Above average deprivation and density
WGN,25.92256949388732,330712.0,188.0,1759.1063829787233,Mainstream A,Above average deprivation
ENF,25.85252469187582,333587.0,81.0,4118.358024691358,Outlier A,Above average deprivation and density
STT,25.836416178527255,197419.0,205.0,963.0195121951219,Mainstream A,Above average deprivation
SWK,25.7353338236678,320017.0,29.0,11035.068965517241,Outlier B,"Very high deprivation, above average deprivation."
DAL,25.716202110427613,107402.0,197.0,545.1878172588832,Mainstream A,Above average deprivation
SWA,25.699641825300358,246563.0,378.0,652.2830687830688,Mainstream A,Above average deprivation
BEN,25.64994414912166,327753.0,43.0,7622.162790697675,Outlier A,Above average deprivation and density
FEN,25.618472380952376,102080.0,546.0,186.95970695970695,Mainstream A,Above average deprivation
EAY,25.468610692867724,121600.0,1262.0,96.35499207606973,Mainstream A,Above average deprivation
LBH,25.384398857174407,321813.0,27.0,11919.0,Outlier B,"Very high deprivation, above average deprivation."
KIR,25.35840253577301,441290.0,409.0,1078.9486552567237,Mainstream A,Above average deprivation
WFT,25.230597303805656,276940.0,39.0,7101.025641025641,Outlier A,Above average deprivation and density
BGE,25.178229360809706,147539.0,251.0,587.8047808764941,Mainstream A,Above average deprivation
BOS,25.049174337777117,81305.0,160.0,508.15625,Mainstream A,Above average deprivation
COP,25.010328850299935,68041.0,732.0,92.95218579234972,Mainstream A,Above average deprivation
TFW,25.003029585107925,181322.0,290.0,625.248275862069,Mainstream A,Above average deprivation
CHS,24.96043261201145,104930.0,66.0,1589.8484848484848,Mainstream A,Above average deprivation
NTCA,24.94658868030059,839515.0,5215.0,160.98082454458293,Mainstream A,Above average deprivation
CMN,24.909375025086604,190073.0,2370.0,80.19957805907173,Mainstream A,Above average deprivation
DUD,24.40006177937537,322363.0,98.0,3289.418367346939,Outlier A,Above average deprivation and density
GRE,24.31790858575688,289034.0,47.0,6149.659574468085,Outlier A,Above average deprivation and density
MDW,24.06391908269791,279142.0,194.0,1438.8762886597938,Mainstream A,Above average deprivation
LAC,24.024432983196153,148119.0,567.0,261.23280423280426,Mainstream A,Above average deprivation
BUR,24.021824629561763,190708.0,99.0,1926.3434343434344,Mainstream A,Above average deprivation
SHE,24.007313736769433,113320.0,357.0,317.42296918767505,Mainstream A,Above average deprivation
ROS,23.96728179122017,71432.0,138.0,517.6231884057971,Mainstream A,Above average deprivation
KIN,23.883172476433945,151245.0,1440.0,105.03125,Mainstream A,Above average deprivation
CLK,23.74116642656027,51290.0,159.0,322.57861635220127,Mainstream A,Above average deprivation
NUN,23.63120252842944,130373.0,79.0,1650.2911392405063,Mainstream A,Above average deprivation
WRX,23.452547124825102,136055.0,504.0,269.9503968253968,Mainstream A,Above average deprivation
PEM,23.436514362224287,126751.0,1618.0,78.3380716934487,Mainstream A,Above average deprivation
BAI,23.382426273644633,187558.0,110.0,1705.0727272727272,Mainstream A,Above average deprivation
IOW,23.348529798054614,142296.0,380.0,374.46315789473687,Mainstream A,Above average deprivation
TOR,23.23329084330643,68719.0,984.0,69.83638211382114,Mainstream A,Above average deprivation
CON,23.063352023778997,573299.0,3545.0,161.72045133991537,Mainstream A,Above average deprivation
BOT,23.01602394083195,70837.0,364.0,194.60714285714286,Mainstream A,Above average deprivation
SLG,22.9328652458556,149577.0,33.0,4532.636363636364,Outlier A,Above average deprivation and density
ALL,22.837958654269098,97831.0,1242.0,78.76892109500805,Mainstream A,Above average deprivation
WYE,22.784010227957065,101139.0,195.0,518.6615384615385,Mainstream A,Above average deprivation
BAE,22.776074068398337,118280.0,638.0,185.39184952978056,Mainstream A,Above average deprivation
EAL,22.775640901564035,340341.0,56.0,6077.517857142857,Outlier A,Above average deprivation and density
CRY,22.67567225828142,388563.0,86.0,4518.174418604651,Outlier A,Above average deprivation and density
SOS,22.6453823453925,182773.0,42.0,4351.738095238095,Outlier A,Above average deprivation and density
RED,22.542838026764873,85568.0,54.0,1584.5925925925926,Mainstream A,Above average deprivation
DOV,22.396161405558228,118514.0,315.0,376.2349206349206,Mainstream A,Above average deprivation
NLN,22.31556902816149,172748.0,847.0,203.95277449822905,Mainstream B,Below average deprivation
HMF,22.306929335702677,183544.0,16.0,11471.5,Outlier B,"Very high deprivation, above average deprivation."
CWY,22.301965672120335,118184.0,1126.0,104.95914742451154,Mainstream B,Below average deprivation
AGY,22.20598960732711,70440.0,712.0,98.93258426966293,Mainstream B,Below average deprivation
NTY,22.17242512012235,208871.0,82.0,2547.2073170731705,Outlier A,Above average deprivation and density
EAS,22.144637650007223,103324.0,44.0,2348.2727272727275,Outlier A,Above average deprivation and density
RFW,22.086375851520135,179390.0,261.0,687.3180076628353,Mainstream B,Below average deprivation
NBL,22.037287147137093,323820.0,5020.0,64.50597609561753,Mainstream B,Below average deprivation
LAN,21.94435771390498,1227076.0,2894.0,424.00691085003456,Mainstream B,Below average deprivation
GLO,21.93664842636764,129709.0,41.0,3163.6341463414633,Outlier A,Above average deprivation and density
GLA,21.839303723090932,9002488.0,1572.0,5726.773536895675,Outlier A,Above average deprivation and density
CAR,21.83732466552569,108524.0,1038.0,104.55105973025049,Mainstream B,Below average deprivation
HAA,21.804497377594675,126339.0,56.0,2256.0535714285716,Outlier A,Above average deprivation and density
GRA,21.763743236798533,106890.0,99.0,1079.6969696969697,Mainstream B,Below average deprivation
HNS,21.560903319424135,271767.0,56.0,4852.982142857143,Outlier A,Above average deprivation and density
SEG,21.39409499261231,123446.0,564.0,218.8758865248227,Mainstream B,Below average deprivation
HAR,21.32990094984323,87280.0,31.0,2815.483870967742,Outlier A,Above average deprivation and density
KEC,21.229887618571833,156864.0,12.0,13072.0,Outlier B,"Very high deprivation, above average deprivation."
CMA,21.137978394518534,499781.0,6768.0,73.84471040189125,Mainstream B,Below average deprivation
THR,21.129832036067253,175531.0,164.0,1070.310975609756,Mainstream B,Below average deprivation
SKP,21.091802701219745,294197.0,126.0,2334.8968253968255,Outlier A,Above average deprivation and density
NFK,21.05221602667658,914039.0,5384.0,169.76950222882616,Mainstream B,Below average deprivation
TAW,21.006838466152082,76864.0,31.0,2479.483870967742,Outlier A,Above average deprivation and density
NNO,20.96941933668457,105167.0,966.0,108.86853002070393,Mainstream B,Below average deprivation
SLK,20.958878876540894,320820.0,1772.0,181.04966139954854,Mainstream B,Below average deprivation
CGN,20.94033708273942,72895.0,1785.0,40.8375350140056,Mainstream B,Below average deprivation
BNH,20.88944106433815,291738.0,83.0,3514.9156626506024,Outlier A,Above average deprivation and density
WYR,20.76716669491751,113067.0,282.0,400.9468085106383,Mainstream B,Below average deprivation
GOS,20.680427402814768,84679.0,25.0,3387.16,Outlier A,Above average deprivation and density
SAY,20.607720535260572,112140.0,1222.0,91.76759410801964,Mainstream B,Below average deprivation
GWN,20.5940102958432,125171.0,2535.0,49.377120315581855,Mainstream B,Below average deprivation
WOC,20.55670791922704,100265.0,33.0,3038.3333333333335,Outlier A,Above average deprivation and density
WLI,20.508733680370447,96186.0,1156.0,83.20588235294117,Mainstream B,Below average deprivation
CAN,20.459153966773197,101484.0,79.0,1284.607594936709,Mainstream B,Below average deprivation
NDE,20.403279736476396,98170.0,1086.0,90.39594843462247,Mainstream B,Below average deprivation
CMD,20.026171159393996,279516.0,22.0,12705.272727272728,Outlier B,"Very high deprivation, above average deprivation."
WSM,19.99017473413517,269848.0,21.0,12849.904761904761,Outlier B,"Very high deprivation, above average deprivation."
STV,19.857026501223746,88104.0,26.0,3388.6153846153848,Outlier A,Above average deprivation and density
BRE,19.83135150891632,141255.0,1305.0,108.24137931034483,Mainstream B,Below average deprivation
ROH,19.804242412572858,96716.0,509.0,190.01178781925344,Mainstream B,Below average deprivation
ESX,19.791156407868215,558852.0,1709.0,327.0052662375658,Mainstream B,Below average deprivation
FIF,19.78818836267257,374130.0,1325.0,282.3622641509434,Mainstream B,Below average deprivation
RDG,19.743397416244292,160337.0,40.0,4008.425,Outlier A,Above average deprivation and density
ESK,19.65232907749106,250373.0,1261.0,198.5511498810468,Mainstream B,Below average deprivation
NNT,19.619687044120514,350448.0,987.0,355.06382978723406,Mainstream B,Below average deprivation
POW,19.609055616431394,133030.0,5181.0,25.676510326191856,Mainstream B,Below average deprivation
FAL,19.506012312307316,160560.0,297.0,540.6060606060606,Mainstream B,Below average deprivation
NTT,19.48418261986866,833377.0,2085.0,399.7011990407674,Mainstream B,Below average deprivation
DAR,19.466827966538197,114051.0,73.0,1562.3424657534247,Mainstream B,Below average deprivation
LIN,19.44092148919352,766333.0,5937.0,129.0774802088597,Mainstream B,Below average deprivation
WLN,19.42218209299943,183820.0,428.0,429.4859813084112,Mainstream B,Below average deprivation
LEC,19.416645076625485,713085.0,2083.0,342.33557369179067,Mainstream B,Below average deprivation
FLN,19.272157952381853,156847.0,440.0,356.4704545454546,Mainstream B,Below average deprivation
NEA,19.26917575415982,123127.0,651.0,189.13517665130567,Mainstream B,Below average deprivation
SWT,19.150645011765466,155421.0,1188.0,130.82575757575756,Mainstream B,Below average deprivation
NEC,19.121275778153755,129610.0,211.0,614.2654028436019,Mainstream B,Below average deprivation
EST,19.115321408888214,120923.0,387.0,312.4625322997416,Mainstream B,Below average deprivation
WRT,19.102023684135347,209397.0,181.0,1156.889502762431,Mainstream B,Below average deprivation
DGY,18.971751943782497,148290.0,6426.0,23.0765639589169,Mainstream B,Below average deprivation
CRW,18.966802204449824,112474.0,45.0,2499.4222222222224,Outlier A,Above average deprivation and density
ERE,18.918329432873065,115332.0,110.0,1048.4727272727273,Mainstream B,Below average deprivation
HEF,18.9162387332016,193615.0,2180.0,88.81422018348624,Mainstream B,Below average deprivation
MLN,18.87225996706845,93150.0,354.0,263.135593220339,Mainstream B,Below average deprivation
BDF,18.85785826235487,174687.0,476.0,366.98949579831935,Mainstream B,Below average deprivation
VGL,18.67926521213294,135295.0,331.0,408.7462235649547,Mainstream B,Below average deprivation
ASF,18.67323294266027,131018.0,581.0,225.50430292598966,Mainstream B,Below average deprivation
ARU,18.664629393249488,161123.0,221.0,729.0633484162896,Mainstream B,Below average deprivation
WLA,18.646326509544554,114496.0,347.0,329.9596541786743,Mainstream B,Below average deprivation
SWD,18.612303996975594,222881.0,230.0,969.0478260869565,Mainstream B,Below average deprivation
HIL,18.39799122429693,309014.0,116.0,2663.9137931034484,Outlier A,Above average deprivation and density
SOM,18.36161709366019,563851.0,3450.0,163.4350724637681,Mainstream B,Below average deprivation
BPC,18.245148809478632,396989.0,162.0,2450.5493827160494,Outlier A,Above average deprivation and density
WDE,18.216201914115707,56139.0,1160.0,48.39568965517241,Mainstream B,Below average deprivation
SFK,18.19023282634615,761246.0,3800.0,200.3278947368421,Mainstream B,Below average deprivation
DEV,18.18897021472166,810716.0,6564.0,123.50944546008532,Mainstream B,Below average deprivation
BRX,18.18090442952745,97592.0,51.0,1913.5686274509803,Mainstream B,Below average deprivation
CHW,18.115142197970684,343823.0,920.0,373.72065217391304,Mainstream B,Below average deprivation
FOE,18.092547372423404,87107.0,526.0,165.60266159695817,Mainstream B,Below average deprivation
NWA,18.087558761338563,65452.0,284.0,230.46478873239437,Mainstream B,Below average deprivation
WOR,18.05782964366818,598070.0,1741.0,343.5209649626651,Mainstream B,Below average deprivation
AMB,17.987207433650415,128829.0,265.0,486.14716981132074,Mainstream B,Below average deprivation
MIK,17.96609166212049,270203.0,309.0,874.4433656957929,Mainstream B,Below average deprivation
HLD,17.857337663699248,235430.0,25653.0,9.177484114918332,Mainstream B,Below average deprivation
SHO,17.810919731843104,95857.0,750.0,127.80933333333333,Mainstream B,Below average deprivation
ADU,17.643439246668013,64187.0,42.0,1528.2619047619048,Mainstream B,Below average deprivation
NED,17.61954905284737,102216.0,276.0,370.3478260869565,Mainstream B,Below average deprivation
WNT,17.60152903098383,406733.0,1377.0,295.3761801016703,Mainstream B,Below average deprivation
SOL,17.46025083420373,217487.0,178.0,1221.8370786516855,Mainstream B,Below average deprivation
SSO,17.368434720365926,168696.0,959.0,175.9082377476538,Mainstream B,Below average deprivation
AGB,17.350429508931235,85430.0,6907.0,12.368611553496454,Mainstream B,Below average deprivation
RDB,17.327725432635923,305658.0,56.0,5458.178571428572,Outlier A,Above average deprivation and density
WOT,17.310814425250975,110727.0,33.0,3355.3636363636365,Outlier A,Above average deprivation and density
ESS,17.309280024821412,1497759.0,3458.0,433.1286871023713,Mainstream B,Below average deprivation
ELS,17.299781655824468,26500.0,3056.0,8.671465968586388,Mainstream B,Below average deprivation
MON,17.26099552359505,95164.0,849.0,112.08951707891637,Mainstream B,Below average deprivation
SHR,17.10501329471182,325415.0,3197.0,101.78761338755083,Mainstream B,Below average deprivation
HAV,17.063034509462465,260651.0,112.0,2327.2410714285716,Mainstream B,Below average deprivation
CHO,17.007317334370985,118870.0,203.0,585.5665024630542,Mainstream B,Below average deprivation
MDE,16.886664637776242,83290.0,913.0,91.22672508214677,Mainstream B,Below average deprivation
CAT,16.837653010387317,166762.0,309.0,539.6828478964401,Mainstream B,Below average deprivation
CAS,16.821148114543682,90524.0,45.0,2011.6444444444444,Mainstream B,Below average deprivation
MAI,16.69350193218721,173132.0,393.0,440.5394402035623,Mainstream B,Below average deprivation
COL,16.686054168849456,197200.0,328.0,601.219512195122,Mainstream B,Below average deprivation
WND,16.635101126253875,329735.0,34.0,9698.088235294117,Outlier B,"Very high deprivation, above average deprivation."
MEN,16.576491811362875,116288.0,739.0,157.35859269282815,Mainstream B,Below average deprivation
ANS,16.49586132706947,115820.0,2181.0,53.104080696928015,Mainstream B,Below average deprivation
BEX,16.458360961306877,249301.0,61.0,4086.901639344262,Outlier A,Above average deprivation and density
OXO,16.43546613143378,151584.0,46.0,3295.304347826087,Outlier A,Above average deprivation and density
STS,16.41937945721841,883172.0,2620.0,337.0885496183206,Mainstream B,Below average deprivation
DBY,16.381738072556182,807183.0,2547.0,316.91519434628975,Mainstream B,Below average deprivation
EDN,16.23796685632734,53754.0,2142.0,25.095238095238095,Mainstream B,Below average deprivation
EXE,16.23229110003424,133333.0,47.0,2836.872340425532,Outlier A,Above average deprivation and density
WSK,16.214400346281668,177302.0,1035.0,171.30628019323672,Mainstream B,Below average deprivation
BNE,16.202091984974825,399007.0,87.0,4586.287356321839,Outlier A,Above average deprivation and density
TRF,16.14333361982523,237579.0,106.0,2241.311320754717,Mainstream B,Below average deprivation
NSM,16.08471468296039,215574.0,374.0,576.4010695187166,Mainstream B,Below average deprivation
SCB,16.001783137460148,115240.0,4732.0,24.353338968723584,Mainstream B,Below average deprivation
RUH,16.000946151650652,94387.0,39.0,2420.1794871794873,Mainstream B,Below average deprivation
GLS,15.994691077480708,640650.0,2653.0,241.48134187712023,Mainstream B,Below average deprivation
TEI,15.981603258722595,135039.0,674.0,200.3545994065282,Mainstream B,Below average deprivation
MAV,15.968210627970215,79445.0,577.0,137.68630849220105,Mainstream B,Below average deprivation
ELN,15.870007448689842,107900.0,679.0,158.9101620029455,Mainstream B,Below average deprivation
FYL,15.85774029462738,81211.0,166.0,489.22289156626505,Mainstream B,Below average deprivation
WYC,15.846520663200263,131084.0,664.0,197.4156626506024,Mainstream B,Below average deprivation
DST,15.779218880446383,379791.0,2491.0,152.46527498996386,Mainstream B,Below average deprivation
LEE,15.767609298136886,103525.0,292.0,354.53767123287673,Mainstream B,Below average deprivation
RYE,15.731866052726616,55629.0,1507.0,36.91373589913736,Mainstream B,Below average deprivation
STG,15.683261274448258,94080.0,2186.0,43.03751143641354,Mainstream B,Below average deprivation
HIG,15.622224364923492,92633.0,539.0,171.860853432282,Mainstream B,Below average deprivation
ERY,15.562652490085679,343201.0,2404.0,142.7624792013311,Mainstream B,Below average deprivation
WAT,15.490773579630762,96623.0,21.0,4601.0952380952385,Outlier A,Above average deprivation and density
SRI,15.383548245297327,111086.0,113.0,983.0619469026549,Mainstream B,Below average deprivation
LND,15.328364160065837,10938.0,3.0,3646.0,Outlier A,Above average deprivation and density
ABE,15.13769666850714,229060.0,186.0,1231.505376344086,Mainstream B,Below average deprivation
HRW,15.122929423475082,252338.0,50.0,5046.76,Outlier A,Above average deprivation and density
EPP,15.119727965129963,132175.0,339.0,389.8967551622419,Mainstream B,Below average deprivation
STF,15.053088027632441,98427.0,576.0,170.88020833333334,Mainstream B,Below average deprivation
SPE,14.995468100236371,99873.0,45.0,2219.4,Mainstream B,Below average deprivation
GED,14.918718260161489,118239.0,120.0,985.325,Mainstream B,Below average deprivation
EDH,14.740814454864985,527620.0,263.0,2006.1596958174905,Mainstream B,Below average deprivation
BRA,14.728824192026423,153091.0,612.0,250.1486928104575,Mainstream B,Below average deprivation
CAB,14.692452715588383,125063.0,41.0,3050.317073170732,Outlier A,Above average deprivation and density
CHE,14.555192822112083,386667.0,1166.0,331.6183533447684,Mainstream B,Below average deprivation
MRT,14.54133978542518,206453.0,38.0,5432.973684210527,Outlier A,Above average deprivation and density
NWL,14.463790224976112,104809.0,279.0,375.6594982078853,Mainstream B,Below average deprivation
KEN,14.426059486901496,1589057.0,3544.0,448.37951467268624,Mainstream B,Below average deprivation
MRY,14.391920085507445,95710.0,2238.0,42.76586237712243,Mainstream B,Below average deprivation
CHR,14.360498202693632,151846.0,589.0,257.8030560271647,Mainstream B,Below average deprivation
WEW,14.314115081719395,123893.0,130.0,953.0230769230769,Mainstream B,Below average deprivation
BRT,14.298875246639135,114627.0,80.0,1432.8375,Mainstream B,Below average deprivation
MAL,14.276034547022762,65401.0,358.0,182.68435754189943,Mainstream B,Below average deprivation
BRY,14.260273503321942,332752.0,150.0,2218.346666666667,Mainstream B,Below average deprivation
BAB,14.249898724412194,92735.0,594.0,156.1195286195286,Mainstream B,Below average deprivation
CHT,14.232300594982197,116043.0,47.0,2469.0,Mainstream B,Below average deprivation
SDE,14.22996728540662,109516.0,338.0,324.0118343195266,Mainstream B,Below average deprivation
WSX,14.18833713527553,867635.0,1991.0,435.7785032646911,Mainstream B,Below average deprivation
RUG,14.127847716528207,110650.0,351.0,315.24216524216524,Mainstream B,Below average deprivation
PKN,14.102364088985759,151910.0,5286.0,28.738176314793794,Mainstream B,Below average deprivation
ORK,14.085283856684885,22400.0,991.0,22.60343087790111,Mainstream B,Below average deprivation
STN,14.07958985989755,207707.0,44.0,4720.613636363636,Outlier A,Above average deprivation and density
CHI,14.051337507946066,121508.0,786.0,154.59033078880407,Mainstream B,Below average deprivation
HER,13.968569553655678,105471.0,101.0,1044.2673267326732,Mainstream B,Below average deprivation
ZET,13.89227279320911,22870.0,1467.0,15.589638718473074,Mainstream B,Below average deprivation
CAM,13.87909014791817,657204.0,3046.0,215.7596848325673,Mainstream B,Below average deprivation
SHA,13.78448118477312,87946.0,887.0,99.14994363021421,Mainstream B,Below average deprivation
STA,13.75422228292541,137858.0,598.0,230.53177257525084,Mainstream B,Below average deprivation
TON,13.53495895666387,132571.0,240.0,552.3791666666667,Mainstream B,Below average deprivation
WIL,13.427684331152093,504070.0,3255.0,154.86021505376345,Mainstream B,Below average deprivation
HIN,13.414295113845288,113666.0,297.0,382.71380471380473,Mainstream B,Below average deprivation
SKE,13.39512931809245,143225.0,943.0,151.88229056203605,Mainstream B,Below average deprivation
SST,13.352700727524985,112369.0,407.0,276.09090909090907,Mainstream B,Below average deprivation
CHA,13.270781077314622,188416.0,279.0,675.326164874552,Mainstream B,Below average deprivation
OAD,13.214853792861526,57313.0,24.0,2388.0416666666665,Mainstream B,Below average deprivation
MSU,13.20040702632465,104857.0,871.0,120.38691159586682,Mainstream B,Below average deprivation
