local-authority-code,label
SHF,Public sector
SHN,Industry/commercial/public sector
SHO,Domestic
SHR,Industry/domestic/transport
SKE,Industry/domestic/transport
SKP,Domestic
SLA,Industry/domestic/transport
SLF,Urban mainstream
SLG,Urban mainstream
SLK,Domestic
SND,Domestic
SNO,Industry/domestic/transport
SOL,Domestic
SOS,Urban mainstream
SOX,Domestic
SPE,Urban mainstream
SRI,Domestic
SSO,Domestic
SST,Industry/domestic/transport
STA,Domestic
STE,Industry/commercial/public sector
STF,Industry/domestic/transport
STG,Industry/domestic/transport
STH,Urban mainstream
STN,Urban mainstream
STO,Domestic
STR,Industry/domestic/transport
STT,Domestic
STV,Public sector
STY,Urban mainstream
SUR,Domestic
SWA,Domestic
SWD,Urban mainstream
SWK,Public sector
SWL,Domestic
SWT,Domestic
TAM,Urban mainstream
TAN,Domestic
TAW,Urban mainstream
TEI,Industry/domestic/transport
TEN,Domestic
TES,Domestic
TEW,Domestic
TFW,Domestic
THA,Industry/commercial/public sector
THE,Domestic
THR,Domestic
TOB,Urban mainstream
TOF,Domestic
TON,Domestic
TOR,Industry/domestic/transport
TRF,Domestic
TUN,Domestic
TWH,Public sector
UTT,Industry/domestic/transport
VAL,Industry/domestic/transport
VGL,Domestic
WAE,Domestic
WAT,Urban mainstream
WAW,Domestic
WBK,Domestic
WDE,Industry/domestic/transport
WDU,Public sector
WEA,Domestic
WEW,Urban mainstream
WFT,Urban mainstream
WGN,Urban mainstream
WIL,Domestic
WIN,Domestic
WKF,Domestic
WLA,Industry/commercial/public sector
WLI,Industry/domestic/transport
WLL,Urban mainstream
WLN,Domestic
WLV,Urban mainstream
WND,Urban mainstream
WNM,Domestic
WNT,Domestic
WOC,Urban mainstream
WOI,Domestic
WOK,Urban mainstream
WOT,Urban mainstream
WOX,Domestic
WRL,Domestic
WRT,Domestic
WRX,Industry/domestic/transport
WSK,Industry/domestic/transport
WSM,Public sector
WYC,Domestic
WYE,Domestic
WYR,Domestic
YOR,Urban mainstream
ZET,Domestic
CAM,Domestic
CMA,Industry/domestic/transport
DBY,Industry/domestic/transport
DEV,Domestic
ESS,Domestic
ESX,Domestic
GLA,Urban mainstream
GLS,Domestic
HAM,Domestic
HRT,Domestic
KEN,Domestic
LAN,Domestic
LCR,Public sector
LEC,Domestic
LIN,Domestic
NFK,Domestic
NTT,Domestic
NYK,Industry/domestic/transport
OXF,Domestic
SCR,Domestic
SFK,Domestic
SOM,Domestic
SRY,Domestic
STS,Domestic
WAR,Domestic
WOR,Domestic
WSX,Domestic
CPCA,Domestic
GMCA,Urban mainstream
NECA,Domestic
NTCA,Domestic
TVCA,Domestic
WECA,Urban mainstream
WMCA,Urban mainstream
WYCA,Domestic
LND,City of London
