local-authority-code_A,local-authority-code_B,distance
WND,STN,0.055870294214161884
STN,WND,0.055870294214161884
MRT,KEC,0.05637497430020432
KEC,MRT,0.05637497430020432
HCK,CMD,0.05646740021590741
CMD,HCK,0.05646740021590741
HRY,WSM,0.05654337221358356
WSM,HRY,0.05654337221358356
ISL,KEC,0.056619022282302034
KEC,ISL,0.056619022282302034
HRY,WFT,0.05681437492734441
WFT,HRY,0.05681437492734441
TAW,NWA,0.056917169535379786
NWA,TAW,0.056917169535379786
NTY,STY,0.05700601590695006
STY,NTY,0.05700601590695006
WLL,SAW,0.057468801121782195
SAW,WLL,0.057468801121782195
BUN,PEN,0.0575063216749055
PEN,BUN,0.0575063216749055
WFT,ENF,0.05754945292944963
ENF,WFT,0.05754945292944963
HER,BNE,0.057555902448784314
BNE,HER,0.057555902448784314
SOS,ROC,0.05756243278231391
ROC,SOS,0.05756243278231391
EPS,MRT,0.057708608627321266
MRT,EPS,0.057708608627321266
HRW,WAT,0.05775266488741261
WAT,HRW,0.05775266488741261
SWK,WSM,0.057771756787679124
WSM,SWK,0.057771756787679124
NUN,COV,0.05791422779911109
COV,NUN,0.05791422779911109
BDG,NWM,0.058062453684864776
NWM,BDG,0.058062453684864776
KEC,BEN,0.05816425201786982
BEN,KEC,0.05816425201786982
OAD,HAO,0.05838008314024834
HAO,OAD,0.05838008314024834
BRC,SUR,0.05838848104813492
SUR,BRC,0.05838848104813492
LBH,ISL,0.05854824602002686
ISL,LBH,0.05854824602002686
BUN,ROS,0.058658604555712916
ROS,BUN,0.058658604555712916
LEW,NWM,0.05898936869774102
NWM,LEW,0.05898936869774102
LBH,LEW,0.05910425156757907
LEW,LBH,0.05910425156757907
ADU,WOT,0.059805391524343714
WOT,ADU,0.059805391524343714
KEC,LND,0.06025722064988566
LND,KEC,0.06025722064988566
LEW,LND,0.06027892283102913
LND,LEW,0.06027892283102913
HER,HRW,0.060312646340006354
HRW,HER,0.060312646340006354
HYN,BBD,0.060435736210443014
BBD,HYN,0.060435736210443014
CMD,WND,0.06044612133768845
WND,CMD,0.06044612133768845
GRE,TWH,0.06045802319949761
TWH,GRE,0.06045802319949761
STT,MDB,0.06102550410720234
MDB,STT,0.06102550410720234
BRM,RED,0.061950057997251576
RED,BRM,0.061950057997251576
SAW,DUD,0.06195081542468814
DUD,SAW,0.06195081542468814
WOK,RDG,0.062033680231900486
RDG,WOK,0.062033680231900486
CHA,LCE,0.062161092816951424
LCE,CHA,0.062161092816951424
CMD,LBH,0.06230329861794501
LBH,CMD,0.06230329861794501
LBH,TWH,0.06239970166355007
TWH,LBH,0.06239970166355007
SPE,ELM,0.06247307134856011
ELM,SPE,0.06247307134856011
