local-authority-code,label
CMN,3rd IMD quintile
AND,3rd IMD quintile
DUD,3rd IMD quintile
GRE,3rd IMD quintile
MDW,3rd IMD quintile
LAC,3rd IMD quintile
BUR,3rd IMD quintile
SHE,3rd IMD quintile
ROS,3rd IMD quintile
KIN,3rd IMD quintile
CLK,3rd IMD quintile
NUN,3rd IMD quintile
WRX,3rd IMD quintile
PEM,3rd IMD quintile
BAI,3rd IMD quintile
IOW,3rd IMD quintile
TOR,3rd IMD quintile
CON,3rd IMD quintile
BOT,3rd IMD quintile
SLG,3rd IMD quintile
ALL,3rd IMD quintile
WYE,3rd IMD quintile
BAE,3rd IMD quintile
EAL,3rd IMD quintile
CRY,3rd IMD quintile
SOS,3rd IMD quintile
RED,3rd IMD quintile
DOV,3rd IMD quintile
NLN,3rd IMD quintile
LBC,3rd IMD quintile
HMF,3rd IMD quintile
CWY,3rd IMD quintile
AGY,3rd IMD quintile
NTY,3rd IMD quintile
EAS,3rd IMD quintile
RFW,3rd IMD quintile
NBL,3rd IMD quintile
LAN,3rd IMD quintile
GLO,3rd IMD quintile
GLA,3rd IMD quintile
CAR,3rd IMD quintile
HAA,3rd IMD quintile
GRA,3rd IMD quintile
HNS,3rd IMD quintile
SEG,3rd IMD quintile
HAR,3rd IMD quintile
KEC,3rd IMD quintile
CMA,3rd IMD quintile
THR,3rd IMD quintile
SKP,3rd IMD quintile
NFK,3rd IMD quintile
TAW,3rd IMD quintile
NNO,3rd IMD quintile
SLK,3rd IMD quintile
CGN,3rd IMD quintile
BNH,3rd IMD quintile
WYR,3rd IMD quintile
GOS,3rd IMD quintile
SAY,3rd IMD quintile
GWN,3rd IMD quintile
WOC,3rd IMD quintile
WLI,3rd IMD quintile
CAN,3rd IMD quintile
NDE,3rd IMD quintile
CMD,3rd IMD quintile
WSM,3rd IMD quintile
STV,3rd IMD quintile
BRE,3rd IMD quintile
ROH,3rd IMD quintile
ESX,3rd IMD quintile
FIF,3rd IMD quintile
RDG,3rd IMD quintile
ESK,3rd IMD quintile
NNT,3rd IMD quintile
POW,3rd IMD quintile
FAL,3rd IMD quintile
NTT,3rd IMD quintile
DAR,3rd IMD quintile
LIN,3rd IMD quintile
WLN,3rd IMD quintile
LEC,3rd IMD quintile
FLN,3rd IMD quintile
NEA,3rd IMD quintile
SWT,3rd IMD quintile
NEC,3rd IMD quintile
EST,3rd IMD quintile
WRT,3rd IMD quintile
DGY,3rd IMD quintile
CRW,4th IMD quintile
WECA,4th IMD quintile
ERE,4th IMD quintile
HEF,4th IMD quintile
MLN,4th IMD quintile
BDF,4th IMD quintile
VGL,4th IMD quintile
ASF,4th IMD quintile
ARU,4th IMD quintile
WLA,4th IMD quintile
SWD,4th IMD quintile
HIL,4th IMD quintile
SOM,4th IMD quintile
BPC,4th IMD quintile
WDE,4th IMD quintile
SFK,4th IMD quintile
DEV,4th IMD quintile
BRX,4th IMD quintile
CHW,4th IMD quintile
FOE,4th IMD quintile
NWA,4th IMD quintile
WOR,4th IMD quintile
AMB,4th IMD quintile
MIK,4th IMD quintile
HLD,4th IMD quintile
SHO,4th IMD quintile
ADU,4th IMD quintile
NED,4th IMD quintile
WNT,4th IMD quintile
SOL,4th IMD quintile
SSO,4th IMD quintile
AGB,4th IMD quintile
RDB,4th IMD quintile
WOT,4th IMD quintile
ESS,4th IMD quintile
ELS,4th IMD quintile
MON,4th IMD quintile
CPCA,4th IMD quintile
SHR,4th IMD quintile
HAV,4th IMD quintile
CHO,4th IMD quintile
MDE,4th IMD quintile
CAT,4th IMD quintile
CAS,4th IMD quintile
MAI,4th IMD quintile
COL,4th IMD quintile
WND,4th IMD quintile
MEN,4th IMD quintile
ANS,4th IMD quintile
BEX,4th IMD quintile
OXO,4th IMD quintile
STS,4th IMD quintile
DBY,4th IMD quintile
EDN,4th IMD quintile
EXE,4th IMD quintile
WSK,4th IMD quintile
BNE,4th IMD quintile
TRF,4th IMD quintile
NSM,4th IMD quintile
SCB,4th IMD quintile
RUH,4th IMD quintile
GLS,4th IMD quintile
TEI,4th IMD quintile
MAV,4th IMD quintile
ELN,4th IMD quintile
FYL,4th IMD quintile
WYC,4th IMD quintile
DST,4th IMD quintile
LEE,4th IMD quintile
RYE,4th IMD quintile
STG,4th IMD quintile
HIG,4th IMD quintile
ERY,4th IMD quintile
WAT,4th IMD quintile
SRI,4th IMD quintile
LND,4th IMD quintile
ABE,4th IMD quintile
HRW,4th IMD quintile
EPP,4th IMD quintile
STF,4th IMD quintile
SPE,4th IMD quintile
GED,4th IMD quintile
EDH,4th IMD quintile
BRA,4th IMD quintile
CAB,4th IMD quintile
CHE,4th IMD quintile
MRT,4th IMD quintile
NWL,4th IMD quintile
KEN,4th IMD quintile
MRY,4th IMD quintile
CHR,4th IMD quintile
WEW,5th IMD quintile
BRT,5th IMD quintile
MAL,5th IMD quintile
BRY,5th IMD quintile
BAB,5th IMD quintile
CHT,5th IMD quintile
SDE,5th IMD quintile
WSX,5th IMD quintile
RUG,5th IMD quintile
PKN,5th IMD quintile
ORK,5th IMD quintile
STN,5th IMD quintile
CHI,5th IMD quintile
HER,5th IMD quintile
ZET,5th IMD quintile
CAM,5th IMD quintile
SHA,5th IMD quintile
STA,5th IMD quintile
TON,5th IMD quintile
WIL,5th IMD quintile
HIN,5th IMD quintile
SKE,5th IMD quintile
SST,5th IMD quintile
CHA,5th IMD quintile
OAD,5th IMD quintile
MSU,5th IMD quintile
OXF,5th IMD quintile
SNO,5th IMD quintile
DAC,5th IMD quintile
NEW,5th IMD quintile
BAN,5th IMD quintile
WAR,5th IMD quintile
EDE,5th IMD quintile
HRT,5th IMD quintile
SEL,5th IMD quintile
HAM,5th IMD quintile
CRA,5th IMD quintile
LIF,5th IMD quintile
HUN,5th IMD quintile
MEL,5th IMD quintile
SLA,5th IMD quintile
SEV,5th IMD quintile
WEA,5th IMD quintile
CHL,5th IMD quintile
NYK,5th IMD quintile
CBF,5th IMD quintile
TES,5th IMD quintile
TEW,5th IMD quintile
RIH,5th IMD quintile
ABD,5th IMD quintile
IOS,5th IMD quintile
HAE,5th IMD quintile
WAW,5th IMD quintile
RUN,5th IMD quintile
TAN,5th IMD quintile
DEB,5th IMD quintile
YOR,5th IMD quintile
BRO,5th IMD quintile
BAS,5th IMD quintile
STR,5th IMD quintile
BRM,5th IMD quintile
SGC,5th IMD quintile
NHE,5th IMD quintile
ECA,5th IMD quintile
NKE,5th IMD quintile
EDU,5th IMD quintile
KTT,5th IMD quintile
TUN,5th IMD quintile
REI,5th IMD quintile
COT,5th IMD quintile
HAG,5th IMD quintile
WOI,5th IMD quintile
STO,5th IMD quintile
RIB,5th IMD quintile
BLA,5th IMD quintile
ROC,5th IMD quintile
SRY,5th IMD quintile
BRC,5th IMD quintile
EHA,5th IMD quintile
EAT,5th IMD quintile
BUC,5th IMD quintile
ERW,5th IMD quintile
BRW,5th IMD quintile
WBK,5th IMD quintile
HOR,5th IMD quintile
THE,5th IMD quintile
WIN,5th IMD quintile
MOL,5th IMD quintile
GRT,5th IMD quintile
RIC,5th IMD quintile
UTT,5th IMD quintile
FAR,5th IMD quintile
EPS,5th IMD quintile
RUT,5th IMD quintile
WOX,5th IMD quintile
SCA,5th IMD quintile
SOX,5th IMD quintile
WNM,5th IMD quintile
VAL,5th IMD quintile
SAL,5th IMD quintile
EHE,5th IMD quintile
SUR,5th IMD quintile
HAO,5th IMD quintile
ELM,5th IMD quintile
MSS,5th IMD quintile
WAE,5th IMD quintile
RUS,5th IMD quintile
WOK,5th IMD quintile
HAT,5th IMD quintile
