local-authority-code,label
BPL,1st IMD quintile
KWL,1st IMD quintile
LIV,1st IMD quintile
KHL,1st IMD quintile
MDB,1st IMD quintile
MAN,1st IMD quintile
BUN,1st IMD quintile
BIR,1st IMD quintile
DRS,1st IMD quintile
BBD,1st IMD quintile
BGW,1st IMD quintile
BFS,1st IMD quintile
LCR,1st IMD quintile
SAW,1st IMD quintile
HPL,1st IMD quintile
BRD,1st IMD quintile
NGM,1st IMD quintile
STE,1st IMD quintile
RCH,1st IMD quintile
HYN,1st IMD quintile
HAS,1st IMD quintile
SLF,1st IMD quintile
OLD,1st IMD quintile
MTY,1st IMD quintile
GRY,1st IMD quintile
BDG,1st IMD quintile
HCK,1st IMD quintile
WLV,1st IMD quintile
HAL,1st IMD quintile
FMO,1st IMD quintile
WLL,1st IMD quintile
WMCA,1st IMD quintile
SHN,1st IMD quintile
NMD,1st IMD quintile
STY,1st IMD quintile
TAM,1st IMD quintile
GLG,1st IMD quintile
THA,1st IMD quintile
NTL,1st IMD quintile
NEL,1st IMD quintile
PEN,1st IMD quintile
BOL,1st IMD quintile
BAR,1st IMD quintile
TVCA,1st IMD quintile
LCE,1st IMD quintile
SND,1st IMD quintile
RCT,1st IMD quintile
DNC,1st IMD quintile
TEN,1st IMD quintile
GMCA,1st IMD quintile
NWP,1st IMD quintile
BNS,1st IMD quintile
NET,1st IMD quintile
CCG,1st IMD quintile
ELI,1st IMD quintile
WRL,1st IMD quintile
RCC,1st IMD quintile
ROT,1st IMD quintile
PRE,1st IMD quintile
IVC,1st IMD quintile
NWM,2nd IMD quintile
SCR,2nd IMD quintile
WDU,2nd IMD quintile
WYCA,2nd IMD quintile
NECA,2nd IMD quintile
MAS,2nd IMD quintile
CAY,2nd IMD quintile
GAT,2nd IMD quintile
TOB,2nd IMD quintile
ABC,2nd IMD quintile
MUL,2nd IMD quintile
HRY,2nd IMD quintile
PTE,2nd IMD quintile
DND,2nd IMD quintile
LDS,2nd IMD quintile
SWL,2nd IMD quintile
NOW,2nd IMD quintile
TWH,2nd IMD quintile
ISL,2nd IMD quintile
TOF,2nd IMD quintile
WKF,2nd IMD quintile
SHF,2nd IMD quintile
POR,2nd IMD quintile
SFT,2nd IMD quintile
NAY,2nd IMD quintile
STH,2nd IMD quintile
DER,2nd IMD quintile
LIC,2nd IMD quintile
PLY,2nd IMD quintile
LEW,2nd IMD quintile
DEN,2nd IMD quintile
DUR,2nd IMD quintile
CLD,2nd IMD quintile
CRF,2nd IMD quintile
ASH,2nd IMD quintile
BST,2nd IMD quintile
SCE,2nd IMD quintile
NLK,2nd IMD quintile
LUT,2nd IMD quintile
MEA,2nd IMD quintile
IPS,2nd IMD quintile
COV,2nd IMD quintile
WGN,2nd IMD quintile
ENF,2nd IMD quintile
STT,2nd IMD quintile
SWK,2nd IMD quintile
DAL,2nd IMD quintile
SWA,2nd IMD quintile
BEN,2nd IMD quintile
FEN,2nd IMD quintile
EAY,2nd IMD quintile
LBH,2nd IMD quintile
KIR,2nd IMD quintile
WFT,2nd IMD quintile
BGE,2nd IMD quintile
ANN,2nd IMD quintile
BOS,2nd IMD quintile
COP,2nd IMD quintile
TFW,2nd IMD quintile
CHS,2nd IMD quintile
NTCA,2nd IMD quintile
